YearMonth,working_days,sgd_idr_avg,myr_idr_avg,health_cpi_jakarta
2024-01,22,11684.27,3331.48,102.73
2024-02,20,11628.56,3278.81,103.03
2024-03,19,11708.25,3327.05,103.23
2024-04,20,11814.28,3363.02,103.24
2024-05,20,11888.56,3404.2,103.35
2024-06,19,12077.56,3465.39,103.25
2024-07,23,12060.71,3469.01,103.08
2024-08,22,11959.22,3561.36,103.07
2024-09,20,11816.78,3591.34,102.82
2024-10,23,11867.35,3615.9,102.9
2024-11,21,11827.01,3563.23,103.03
2024-12,21,11861.3,3592.22,104.09
2025-01,19,11924.82,3632.88,104.4
2025-02,20,12134.94,3675.18,104.47
2025-03,19,12312.22,3706.91,104.78
2025-04,16,12657.91,3794.81,104.77
2025-05,17,12680.15,3847.9,104.92
2025-06,18,12696.37,3840.63,105.09
2025-07,23,12699.61,3842.74,105.38
2025-08,20,12682.77,3855.63,105.38
2025-09,21,12850.21,3920.05,105.58
2025-10,23,12796.39,3932.92,105.77
2025-11,20,12811.65,4017.13,105.97
2025-12,21,12938.12,4084.22,106.26
