Tanggal,Hari,Hari Libur
01-01-2024,Senin,Tahun Baru 2024 Masehi
08-02-2024,Kamis,Isra Mi'raj Nabi Muhammad SAW
10-02-2024,Sabtu,Tahun Baru Imlek 2575 Kongzili
11-03-2024,Senin,Hari Suci Nyepi (Tahun Baru Saka 1946)
29-03-2024,Jumat,Wafat Isa Al Masih
31-03-2024,Minggu,Hari Paskah
10-04-2024,Rabu,Hari Raya Idul Fitri 1445 Hijriah
11-04-2024,Kamis,Hari Raya Idul Fitri 1445 Hijriah
01-05-2024,Rabu,Hari Buruh Internasional
09-05-2024,Kamis,Kenaikan Isa Al Masih
23-05-2024,Kamis,Hari Raya Waisak 2568 BE
01-06-2024,Sabtu,Hari Lahir Pancasila
17-06-2024,Senin,Hari Raya Idul Adha 1445 Hijriah
07-07-2024,Minggu,Tahun Baru Islam 1446 Hijriah
17-08-2024,Sabtu,Hari Kemerdekaan RI
16-09-2024,Senin,Maulid Nabi Muhammad SAW
25-12-2024,Rabu,Hari Raya Natal
